nodes' data
i      configuration       h_ii      ci
0  1111000000000000000000000000000000000000  -3.870531217475175  0.84056
1  1100110000000000000000000000000000000000  -3.7791632614291277  0.40075
2  1001011000000000000000000000000000000000  -3.335649397729628  0.14193
3  0110100100000000000000000000000000000000  -3.335649397729628  0.14117
4  1001100100000000000000000000000000000000  -3.4094532416556333  0.09355
5  0110011000000000000000000000000000000000  -3.4094532416556333  0.09307
6  1100100000010000000000000000000000000000  -3.139783843961502  0.07766
7  1100010000100000000000000000000000000000  -3.139783843961502  0.07742
8  0011110000000000000000000000000000000000  -3.3194703775387273  0.06951
9  0011001100000000000000000000000000000000  -2.96552667975453  0.06606
10  1100001100000000000000000000000000000000  -3.345666568704096  0.06574
11  1001010000000010000000000000000000000000  -2.856073893924691  0.06294
12  0000111100000000000000000000000000000000  -2.8675396098883557  0.06278
13  0110100000000001000000000000000000000000  -2.856073893924691  0.06252
14  1010010100000000000000000000000000000000  -3.4324472006567897  0.04858
15  0101101000000000000000000000000000000000  -3.4324472006567897  0.04812
16  1110000001000000000000000000000000000000  -3.2124935776509176  0.04266
17  1101000010000000000000000000000000000000  -3.2124935776509176  0.04241
18  1001100000000001000000000000000000000000  -2.9072462771924523  0.04195
19  0110010000000010000000000000000000000000  -2.9072462771924523  0.04189
20  0110000100100000000000000000000000000000  -2.721709047523638  0.03595
21  1001001000010000000000000000000000000000  -2.721709047523638  0.03549
22  0011001000000001000000000000000000000000  -2.4758715592622647  0.03462
23  0011000100000010000000000000000000000000  -2.475871559262264  0.0333
24  0011100000010000000000000000000000000000  -2.7068624994820554  0.03301
25  0011010000100000000000000000000000000000  -2.7068624994820554  0.03281
26  0110001000010000000000000000000000000000  -2.760885060082023  0.03015
27  0000111000000001000000000000000000000000  -2.3796538070754716  0.0298
28  1001000100100000000000000000000000000000  -2.760885060082023  0.02926
29  0000110100000010000000000000000000000000  -2.3796538070754716  0.02893
30  1100000100000010000000000000000000000000  -2.866509913238393  0.02621
31  1100001000000001000000000000000000000000  -2.866509913238393  0.02593
32  0101100000000010000000000000000000000000  -2.9199554596763377  0.02105
33  1010010000000001000000000000000000000000  -2.9199554596763377  0.0208
34  1001000000010010000000000000000000000000  -2.2299949087788544  0.02075
35  0110000000100001000000000000000000000000  -2.2299949087788544  0.02061
36  1011000000000100000000000000000000000000  -2.980118606158549  0.02049
