 Excitation   ExcitLevel   Seniority    Walkers    Amplitude    Init?   Proc
1111000000000000000000000000000000000000    0    0    18259.97      0.84056  Y     13
1100110000000000000000000000000000000000    2    0   -8705.711      0.40075  Y     45
1001011000000000000000000000000000000000    2    4   -3083.164      0.14193  Y     33
0110100100000000000000000000000000000000    2    4   -3066.747      0.14117  Y     63
1001100100000000000000000000000000000000    2    4    2032.159      0.09355  Y     61
0110011000000000000000000000000000000000    2    4    2021.720      0.09307  Y     27
1100100000010000000000000000000000000000    2    2    1686.969      0.07766  Y     33
1100010000100000000000000000000000000000    2    2   -1681.739      0.07742  Y     29
0011110000000000000000000000000000000000    2    0   -1510.107      0.06951  Y     50
0011001100000000000000000000000000000000    2    0   -1435.109      0.06606  Y     21
1100001100000000000000000000000000000000    2    0   -1428.092      0.06574  Y     10
1001010000000010000000000000000000000000    2    4    1367.177      0.06294  Y      1
0000111100000000000000000000000000000000    4    0    1363.868      0.06278  Y     37
0110100000000001000000000000000000000000    2    4    1358.182      0.06252  Y     63
1010010100000000000000000000000000000000    2    4    1055.253      0.04858  Y     47
0101101000000000000000000000000000000000    2    4    1045.264      0.04812  Y     47
1110000001000000000000000000000000000000    1    2   -926.8300      0.04266  Y      5
1101000010000000000000000000000000000000    1    2    921.1916      0.04241  Y     29
1001100000000001000000000000000000000000    2    4   -911.3983      0.04195  Y     61
0110010000000010000000000000000000000000    2    4   -910.0923      0.04189  Y     59
0110000100100000000000000000000000000000    2    4   -780.9551      0.03595  Y     42
1001001000010000000000000000000000000000    2    4   -770.9661      0.03549  Y     36
0011001000000001000000000000000000000000    2    2    752.0405      0.03462  Y     21
0011000100000010000000000000000000000000    2    2   -723.2980      0.03330  Y      3
0011100000010000000000000000000000000000    2    2    717.0784      0.03301  Y     62
0011010000100000000000000000000000000000    2    2   -712.6544      0.03281  Y      2
0110001000010000000000000000000000000000    2    4    654.9250      0.03015  Y     24
0000111000000001000000000000000000000000    4    2   -647.4174      0.02980  Y     37
1001000100100000000000000000000000000000    2    4    635.6328      0.02926  Y     18
0000110100000010000000000000000000000000    4    2    628.5609      0.02893  Y     19
1100000100000010000000000000000000000000    2    2   -569.3095      0.02621  Y     28
1100001000000001000000000000000000000000    2    2    563.1913      0.02593  Y     10
0101100000000010000000000000000000000000    2    4   -457.2799      0.02105  Y     15
1010010000000001000000000000000000000000    2    4   -451.8920      0.02080  Y     47
1001000000010010000000000000000000000000    2    4   -450.7391      0.02075  Y     60
0110000000100001000000000000000000000000    2    4   -447.7159      0.02061  Y      6
1011000000000100000000000000000000000000    1    2    445.1156      0.02049  Y     35
0011000000000011000000000000000000000000    2    0   -444.2541      0.02045  Y     45
0111000000001000000000000000000000000000    1    2   -441.0125      0.02030  Y     43
1110000000000000000000010000000000000000    1    2    413.3469      0.01903  Y      5
1101000000000000000000100000000000000000    1    2   -413.3327      0.01903  Y     49
0000101100010000000000000000000000000000    4    2   -409.2403      0.01884  Y     57
0011000000110000000000000000000000000000    2    0   -407.8453      0.01877  Y     55
0000011100100000000000000000000000000000    4    2    392.9585      0.01809  Y     53
1001000000100001000000000000000000000000    2    4    370.6881      0.01706  Y     54
1100100000000000000000000100000000000000    2    2   -369.8333      0.01702  Y      1
0110000000010010000000000000000000000000    2    4    359.3550      0.01654  Y      0
1100010000000000000000001000000000000000    2    2    357.3374      0.01645  Y     13
